date;hashtag;country;c_negatives
27-11-2020;NHSCOVID19app;Angleterre;8
26-11-2020;NHSCOVID19app;Angleterre;3
28-11-2020;NHSCOVID19app;Angleterre;10
29-11-2020;CoronaWarnApp;Allemagne;3
25-11-2020;NHSCOVID19app;Angleterre;1
24-11-2020;NHSCOVID19app;Angleterre;6
23-11-2020;NHSCOVID19app;Angleterre;7
07-12-2020;CoronaWarnApp;Allemagne;1
22-11-2020;NHSCOVID19app;Angleterre;8
21-11-2020;NHSCOVID19app;Angleterre;13
08-12-2020;CoronaWarnApp;Allemagne;1
20-11-2020;NHSCOVID19app;Angleterre;21
06-12-2020;CoronaWarnApp;Allemagne;1
18-11-2020;NHSCOVID19app;Angleterre;39
19-11-2020;NHSCOVID19app;Angleterre;16
17-11-2020;NHSCOVID19app;Angleterre;25
02-12-2020;CoronaWarnApp;Allemagne;2
03-12-2020;CoronaWarnApp;Allemagne;2
09-12-2020;NHSCOVID19app;Angleterre;4
06-12-2020;NHSCOVID19app;Angleterre;10
05-12-2020;NHSCOVID19app;Angleterre;9
08-12-2020;NHSCOVID19app;Angleterre;5
07-12-2020;NHSCOVID19app;Angleterre;5
02-12-2020;NHSCOVID19app;Angleterre;16
03-12-2020;NHSCOVID19app;Angleterre;8
04-12-2020;NHSCOVID19app;Angleterre;6
29-11-2020;NHSCOVID19app;Angleterre;4
30-11-2020;NHSCOVID19app;Angleterre;9
01-12-2020;NHSCOVID19app;Angleterre;13
16-11-2020;NHSCOVID19app;Angleterre;16
09-11-2020;CoronaWarnApp;Allemagne;1
13-11-2020;CoronaWarnApp;Allemagne;3
12-11-2020;CoronaWarnApp;Allemagne;1
20-11-2020;CoronaWarnApp;Allemagne;1
24-11-2020;CoronaWarnApp;Allemagne;2
15-11-2020;CoronaWarnApp;Allemagne;3
16-11-2020;CoronaWarnApp;Allemagne;1
17-11-2020;CoronaWarnApp;Allemagne;1
