date;hashtag;country;c_positives
30-11-2020;TousAntiCovid;France;6
28-11-2020;TousAntiCovid;France;5
29-11-2020;TousAntiCovid;France;3
03-12-2020;TousAntiCovid;France;5
02-12-2020;TousAntiCovid;France;6
01-12-2020;TousAntiCovid;France;5
06-12-2020;TousAntiCovid;France;41
07-12-2020;TousAntiCovid;France;9
05-12-2020;TousAntiCovid;France;37
04-12-2020;TousAntiCovid;France;4
09-12-2020;TousAntiCovid;France;24
08-12-2020;TousAntiCovid;France;17
19-11-2020;TousAntiCovid;France;8
21-11-2020;TousAntiCovid;France;21
16-11-2020;TousAntiCovid;France;8
18-11-2020;TousAntiCovid;France;4
17-11-2020;TousAntiCovid;France;6
25-11-2020;TousAntiCovid;France;9
22-11-2020;TousAntiCovid;France;18
27-11-2020;TousAntiCovid;France;12
23-11-2020;TousAntiCovid;France;3
24-11-2020;TousAntiCovid;France;7
