date;hashtag;country;no_ht
07-11-2020;CoronaWarnApp;Allemagne;1
08-11-2020;CoronaWarnApp;Allemagne;6
09-11-2020;CoronaWarnApp;Allemagne;39
10-11-2020;CoronaWarnApp;Allemagne;8
11-11-2020;CoronaWarnApp;Allemagne;5
12-11-2020;CoronaWarnApp;Allemagne;1
13-11-2020;CoronaWarnApp;Allemagne;11
14-11-2020;CoronaWarnApp;Allemagne;6
15-11-2020;CoronaWarnApp;Allemagne;5
16-11-2020;CoronaWarnApp;Allemagne;3
16-11-2020;NHSCOVID19app;Angleterre;75
16-11-2020;TousAntiCovid;France;90
17-11-2020;CoronaWarnApp;Allemagne;2
17-11-2020;NHSCOVID19app;Angleterre;50
17-11-2020;TousAntiCovid;France;63
18-11-2020;CoronaWarnApp;Allemagne;1
18-11-2020;NHSCOVID19app;Angleterre;113
18-11-2020;TousAntiCovid;France;78
19-11-2020;CoronaWarnApp;Allemagne;27
19-11-2020;NHSCOVID19app;Angleterre;73
19-11-2020;TousAntiCovid;France;85
20-11-2020;CoronaWarnApp;Allemagne;1
20-11-2020;NHSCOVID19app;Angleterre;38
21-11-2020;CoronaWarnApp;Allemagne;7
21-11-2020;NHSCOVID19app;Angleterre;35
21-11-2020;TousAntiCovid;France;92
22-11-2020;NHSCOVID19app;Angleterre;42
22-11-2020;TousAntiCovid;France;74
23-11-2020;CoronaWarnApp;Allemagne;1
23-11-2020;NHSCOVID19app;Angleterre;57
23-11-2020;TousAntiCovid;France;64
24-11-2020;CoronaWarnApp;Allemagne;7
24-11-2020;NHSCOVID19app;Angleterre;38
24-11-2020;TousAntiCovid;France;84
25-11-2020;CoronaWarnApp;Allemagne;6
25-11-2020;NHSCOVID19app;Angleterre;16
25-11-2020;TousAntiCovid;France;78
26-11-2020;CoronaWarnApp;Allemagne;30
26-11-2020;NHSCOVID19app;Angleterre;15
27-11-2020;CoronaWarnApp;Allemagne;3
27-11-2020;NHSCOVID19app;Angleterre;83
27-11-2020;TousAntiCovid;France;78
28-11-2020;CoronaWarnApp;Allemagne;12
28-11-2020;NHSCOVID19app;Angleterre;32
28-11-2020;TousAntiCovid;France;89
29-11-2020;CoronaWarnApp;Allemagne;5
29-11-2020;NHSCOVID19app;Angleterre;21
29-11-2020;TousAntiCovid;France;96
30-11-2020;CoronaWarnApp;Allemagne;1
30-11-2020;NHSCOVID19app;Angleterre;41
30-11-2020;TousAntiCovid;France;86
01-12-2020;CoronaWarnApp;Allemagne;1
01-12-2020;NHSCOVID19app;Angleterre;57
01-12-2020;TousAntiCovid;France;70
02-12-2020;CoronaWarnApp;Allemagne;11
02-12-2020;NHSCOVID19app;Angleterre;71
02-12-2020;TousAntiCovid;France;96
03-12-2020;CoronaWarnApp;Allemagne;6
03-12-2020;NHSCOVID19app;Angleterre;44
03-12-2020;TousAntiCovid;France;98
04-12-2020;CoronaWarnApp;Allemagne;1
04-12-2020;NHSCOVID19app;Angleterre;30
04-12-2020;TousAntiCovid;France;65
05-12-2020;CoronaWarnApp;Allemagne;10
05-12-2020;NHSCOVID19app;Angleterre;54
05-12-2020;TousAntiCovid;France;71
06-12-2020;CoronaWarnApp;Allemagne;4
06-12-2020;NHSCOVID19app;Angleterre;28
06-12-2020;TousAntiCovid;France;225
07-12-2020;CoronaWarnApp;Allemagne;9
07-12-2020;NHSCOVID19app;Angleterre;33
07-12-2020;TousAntiCovid;France;142
08-12-2020;CoronaWarnApp;Allemagne;55
08-12-2020;NHSCOVID19app;Angleterre;18
08-12-2020;TousAntiCovid;France;122
