date;hashtag;country;no_regions
07-11-2020;CoronaWarnApp;Allemagne;1
08-11-2020;CoronaWarnApp;Allemagne;6
09-11-2020;CoronaWarnApp;Allemagne;31
10-11-2020;CoronaWarnApp;Allemagne;5
11-11-2020;CoronaWarnApp;Allemagne;5
12-11-2020;CoronaWarnApp;Allemagne;1
13-11-2020;CoronaWarnApp;Allemagne;6
14-11-2020;CoronaWarnApp;Allemagne;5
15-11-2020;CoronaWarnApp;Allemagne;4
16-11-2020;CoronaWarnApp;Allemagne;3
16-11-2020;NHSCOVID19app;Angleterre;50
16-11-2020;TousAntiCovid;France;47
17-11-2020;CoronaWarnApp;Allemagne;2
17-11-2020;NHSCOVID19app;Angleterre;34
17-11-2020;TousAntiCovid;France;40
18-11-2020;CoronaWarnApp;Allemagne;1
18-11-2020;NHSCOVID19app;Angleterre;67
18-11-2020;TousAntiCovid;France;40
19-11-2020;CoronaWarnApp;Allemagne;21
19-11-2020;NHSCOVID19app;Angleterre;46
19-11-2020;TousAntiCovid;France;41
20-11-2020;CoronaWarnApp;Allemagne;1
20-11-2020;NHSCOVID19app;Angleterre;30
21-11-2020;CoronaWarnApp;Allemagne;7
21-11-2020;NHSCOVID19app;Angleterre;21
21-11-2020;TousAntiCovid;France;49
22-11-2020;NHSCOVID19app;Angleterre;30
22-11-2020;TousAntiCovid;France;45
23-11-2020;CoronaWarnApp;Allemagne;1
23-11-2020;NHSCOVID19app;Angleterre;39
23-11-2020;TousAntiCovid;France;31
24-11-2020;CoronaWarnApp;Allemagne;7
24-11-2020;NHSCOVID19app;Angleterre;31
24-11-2020;TousAntiCovid;France;49
25-11-2020;CoronaWarnApp;Allemagne;6
25-11-2020;NHSCOVID19app;Angleterre;14
25-11-2020;TousAntiCovid;France;35
26-11-2020;CoronaWarnApp;Allemagne;17
26-11-2020;NHSCOVID19app;Angleterre;13
27-11-2020;CoronaWarnApp;Allemagne;2
27-11-2020;NHSCOVID19app;Angleterre;50
27-11-2020;TousAntiCovid;France;44
28-11-2020;CoronaWarnApp;Allemagne;11
28-11-2020;NHSCOVID19app;Angleterre;23
28-11-2020;TousAntiCovid;France;48
29-11-2020;CoronaWarnApp;Allemagne;5
29-11-2020;NHSCOVID19app;Angleterre;12
29-11-2020;TousAntiCovid;France;55
30-11-2020;CoronaWarnApp;Allemagne;1
30-11-2020;NHSCOVID19app;Angleterre;24
30-11-2020;TousAntiCovid;France;40
01-12-2020;CoronaWarnApp;Allemagne;1
01-12-2020;NHSCOVID19app;Angleterre;38
01-12-2020;TousAntiCovid;France;28
02-12-2020;CoronaWarnApp;Allemagne;8
02-12-2020;NHSCOVID19app;Angleterre;49
02-12-2020;TousAntiCovid;France;44
03-12-2020;CoronaWarnApp;Allemagne;5
03-12-2020;NHSCOVID19app;Angleterre;32
03-12-2020;TousAntiCovid;France;48
04-12-2020;CoronaWarnApp;Allemagne;1
04-12-2020;NHSCOVID19app;Angleterre;25
04-12-2020;TousAntiCovid;France;36
05-12-2020;CoronaWarnApp;Allemagne;7
05-12-2020;NHSCOVID19app;Angleterre;38
05-12-2020;TousAntiCovid;France;44
06-12-2020;CoronaWarnApp;Allemagne;4
06-12-2020;NHSCOVID19app;Angleterre;20
06-12-2020;TousAntiCovid;France;101
07-12-2020;CoronaWarnApp;Allemagne;9
07-12-2020;NHSCOVID19app;Angleterre;26
07-12-2020;TousAntiCovid;France;74
08-12-2020;CoronaWarnApp;Allemagne;38
08-12-2020;NHSCOVID19app;Angleterre;14
08-12-2020;TousAntiCovid;France;73
09-12-2020;CoronaWarnApp;Allemagne;14
09-12-2020;NHSCOVID19app;Angleterre;20
09-12-2020;TousAntiCovid;France;45
