date;hashtag;country;t_hashtags_sent
28-11-2020;TousAntiCovid;France;0
01-12-2020;TousAntiCovid;France;0
29-11-2020;TousAntiCovid;France;0
16-11-2020;TousAntiCovid;France;0
25-11-2020;TousAntiCovid;France;0
17-11-2020;TousAntiCovid;France;0
19-11-2020;TousAntiCovid;France;0
24-11-2020;TousAntiCovid;France;0
04-12-2020;TousAntiCovid;France;0
05-12-2020;TousAntiCovid;France;0
18-11-2020;TousAntiCovid;France;0
06-12-2020;TousAntiCovid;France;-2
23-11-2020;TousAntiCovid;France;0
03-12-2020;TousAntiCovid;France;0
30-11-2020;TousAntiCovid;France;0
02-12-2020;TousAntiCovid;France;0
21-11-2020;TousAntiCovid;France;0
22-11-2020;TousAntiCovid;France;0
27-11-2020;TousAntiCovid;France;2
