date;hashtag;country;s_positivos
05-12-2020;NHSCOVID19app;Angleterre;134
24-11-2020;NHSCOVID19app;Angleterre;91
24-11-2020;CoronaWarnApp;Allemagne;11
30-11-2020;NHSCOVID19app;Angleterre;78
11-11-2020;CoronaWarnApp;Allemagne;1
18-11-2020;NHSCOVID19app;Angleterre;288
22-11-2020;NHSCOVID19app;Angleterre;91
26-11-2020;CoronaWarnApp;Allemagne;4
07-12-2020;NHSCOVID19app;Angleterre;71
26-11-2020;NHSCOVID19app;Angleterre;48
05-12-2020;CoronaWarnApp;Allemagne;9
01-12-2020;NHSCOVID19app;Angleterre;128
28-11-2020;CoronaWarnApp;Allemagne;21
09-11-2020;CoronaWarnApp;Allemagne;14
29-11-2020;NHSCOVID19app;Angleterre;79
13-11-2020;CoronaWarnApp;Allemagne;4
07-11-2020;CoronaWarnApp;Allemagne;5
03-12-2020;NHSCOVID19app;Angleterre;114
02-12-2020;CoronaWarnApp;Allemagne;3
07-12-2020;CoronaWarnApp;Allemagne;14
16-11-2020;NHSCOVID19app;Angleterre;138
15-11-2020;CoronaWarnApp;Allemagne;5
19-11-2020;NHSCOVID19app;Angleterre;186
10-11-2020;CoronaWarnApp;Allemagne;2
06-12-2020;NHSCOVID19app;Angleterre;59
25-11-2020;NHSCOVID19app;Angleterre;38
27-11-2020;NHSCOVID19app;Angleterre;301
21-11-2020;NHSCOVID19app;Angleterre;79
25-11-2020;CoronaWarnApp;Allemagne;10
20-11-2020;NHSCOVID19app;Angleterre;70
14-11-2020;CoronaWarnApp;Allemagne;7
29-11-2020;CoronaWarnApp;Allemagne;6
02-12-2020;NHSCOVID19app;Angleterre;75
28-11-2020;NHSCOVID19app;Angleterre;70
16-11-2020;CoronaWarnApp;Allemagne;1
17-11-2020;NHSCOVID19app;Angleterre;74
23-11-2020;NHSCOVID19app;Angleterre;113
04-12-2020;NHSCOVID19app;Angleterre;92
08-11-2020;CoronaWarnApp;Allemagne;21
