date;hashtag;country;t_reception
28-11-2020;TousAntiCovid;France;-4
01-12-2020;TousAntiCovid;France;-9
29-11-2020;TousAntiCovid;France;-110
16-11-2020;TousAntiCovid;France;-26
25-11-2020;TousAntiCovid;France;-75
17-11-2020;TousAntiCovid;France;-52
19-11-2020;TousAntiCovid;France;-18
24-11-2020;TousAntiCovid;France;8
04-12-2020;TousAntiCovid;France;-60
05-12-2020;TousAntiCovid;France;79
18-11-2020;TousAntiCovid;France;-37
06-12-2020;TousAntiCovid;France;-25
23-11-2020;TousAntiCovid;France;3
03-12-2020;TousAntiCovid;France;-1
30-11-2020;TousAntiCovid;France;-4
02-12-2020;TousAntiCovid;France;-4
21-11-2020;TousAntiCovid;France;-25
22-11-2020;TousAntiCovid;France;30
27-11-2020;TousAntiCovid;France;-5
